Flight#             Passengers Count    Total Volume        Total Weight        Extra Fees          
ME123               8                   221760.0            30.0                360.0               
CA123               16                  103887.0            75.0                4150.0              
AF999               36                  64736.0             58.0                1150.0              
AA123               16                  34710.0             17.0                50.0                
MS123               8                   89784.0             30.0                770.0               
AF999               36                  64736.0             58.0                1150.0              
AF999               36                  64736.0             58.0                1150.0              
AA123               16                  34710.0             17.0                50.0                
MS123               8                   89784.0             30.0                770.0               
AF999               36                  64736.0             58.0                1150.0              
MS123               8                   89784.0             30.0                770.0               
ME123               8                   221760.0            30.0                360.0               
AF999               36                  64736.0             58.0                1150.0              
CA123               16                  103887.0            75.0                4150.0              
AF999               36                  64736.0             58.0                1150.0              
ME123               8                   221760.0            30.0                360.0               
AF999               36                  64736.0             58.0                1150.0              
AF999               36                  64736.0             58.0                1150.0              
MS123               8                   89784.0             30.0                770.0               
MS123               8                   89784.0             30.0                770.0               
AA123               16                  34710.0             17.0                50.0                
AA123               16                  34710.0             17.0                50.0                
AA123               16                  34710.0             17.0                50.0                
MS123               8                   89784.0             30.0                770.0               
AF999               36                  64736.0             58.0                1150.0              
GA123               16                  470162.0            80.0                620.0               
ME123               8                   221760.0            30.0                360.0               
AF999               36                  64736.0             58.0                1150.0              
AF999               36                  64736.0             58.0                1150.0              
AF999               36                  64736.0             58.0                1150.0              
AF999               36                  64736.0             58.0                1150.0              
AF999               36                  64736.0             58.0                1150.0              
AF999               36                  64736.0             58.0                1150.0              
AA123               16                  34710.0             17.0                50.0                
GA123               16                  470162.0            80.0                620.0               
GA123               16                  470162.0            80.0                620.0               
GA123               16                  470162.0            80.0                620.0               
